date,Arsenal,Chelsea,Liverpool,Man City,Man United,Tottenham
1950-01-14,-43.34,-120.72,-46.92,-202.45,0,-152.92
1950-01-21,-43.92,-126.64,-58.98,-210.24,0,-173.14
1950-02-04,-34.93,-115.67,-40.97,-195.24,0,-151.7
1950-02-18,-49.06,-122.93,-41.58,-192.73,0,-175.5
1950-02-25,-44.91,-113.43,-39.82,-202.49,0,-169.16
1950-03-11,-55.78,-143.67,-77.27,-221.9,0,-168.28
1950-04-01,-50.01,-117.55,-65,-211.48,0,-159.07
1950-04-08,-18.1,-87.55,-21.26,-188.21,0,-130.72
1950-04-10,-26.11,-98.94,-34.74,-182.2,0,-128.88
1950-04-15,-16.74,-103.09,-45.66,-175.72,0,-137.07
1950-04-16,0,-94.26,-41.36,-151.59,-4.02,-133.4
1950-04-22,0,-94.26,-41.36,-151.59,-4.02,-133.4
1950-05-15,0,-119.46,-69.32,-166.64,-16.87,-166.97
1950-05-20,0,-119.46,-69.32,-166.64,-16.87,-166.97
1950-06-26,0,-119.46,-69.32,-166.64,-16.87,-166.97
1950-06-30,0,-119.46,-69.32,-166.64,-16.87,-166.97
1950-07-03,0,-119.46,-69.32,-166.64,-16.87,-166.97
1950-08-19,0,-119.46,-69.32,-166.64,-16.87,-166.97
1950-08-23,0,-121.8,-83.02,-161.36,-22.9,-189.47
1950-08-26,0,-110.4,-70.58,-152.38,-23.94,-164.19
1950-09-02,0,-124.96,-63.34,-149.73,-29.41,-151.59
1950-09-09,0,-146.22,-62.11,-150.91,-17.12,-156.85
1950-09-16,0,-141.99,-49.21,-137.67,-22.75,-140.06
1950-09-23,0,-151.1,-45.32,-138.55,-24.19,-149.68
1950-09-30,0,-151.68,-48.92,-140.72,-8.85,-145.38
1950-10-07,0,-152.46,-59.62,-142.76,-11.54,-138.95
1950-10-08,0,-165.68,-74.44,-162.26,-18.62,-142.06
1950-10-14,0,-165.68,-74.44,-162.26,-18.62,-142.06
1950-10-21,0,-187.75,-81.4,-166.18,-35.38,-136.75
1950-10-28,0,-189.93,-82.67,-159.63,-37.63,-126.64
1950-11-04,0,-181.13,-103.83,-170.76,-30.46,-120.96
1950-11-11,0,-180.08,-124.33,-180.98,-44.58,-116.38
1950-11-18,0,-177.37,-128.57,-183.57,-59.25,-114.78
1950-11-25,0,-193.91,-148.42,-207.07,-74.96,-105.46
1950-12-02,0,-205.74,-148.1,-222.99,-70.4,-116.11
1950-12-09,0,-193.38,-127.98,-205.9,-64.21,-101.12
1950-12-25,0,-159.09,-106,-195.1,-44.53,-59.82
1950-12-26,0,-117.14,-89.7,-164.3,-27.23,-32.96
1951-01-13,0,-132.51,-83.64,-170.88,-44.18,-25.98
1951-01-20,0,-128.12,-80.87,-172.15,-46.37,-39.69
1951-02-03,0,-124.25,-103.68,-190.1,-37.88,-31.41
1951-02-17,0,-123.02,-87.91,-188.37,-28.33,-27.14
1951-03-03,-24.47,-131.8,-71.58,-170.62,0,-22.87
1951-03-17,-36.26,-143.28,-78.8,-204.06,0,-27.54
1951-03-24,-64.86,-153.57,-82.02,-214.28,0,-22.65
1951-03-31,-74.84,-194.7,-96.76,-231.36,0,-36.67
1951-04-07,-65.09,-201.56,-121.62,-218.93,0,-35.5
1951-04-14,-63.88,-189.63,-97.03,-202.58,0,-12.92
1951-04-15,-76.61,-197.84,-95.75,-214.59,0,-36.71
1951-04-21,-76.61,-201.69,-95.75,-214.59,0,-36.71
1951-05-10,-88.27,-179.56,-132.33,-230.71,0,-46.87
1951-05-20,-88.27,-179.56,-132.33,-230.71,0,-46.87
1951-08-18,-88.27,-179.56,-132.33,-230.71,0,-46.87
1951-08-25,-83.96,-180.47,-143.66,-240.52,0,-53.83
1951-08-29,-94.53,-197.38,-134.5,-249.31,0,-52.84
1951-09-01,-103.8,-213.14,-139.26,-249.23,0,-58.85
1951-09-08,-93.31,-217.92,-124.82,-244.64,0,-66.45
1951-09-15,-98.48,-214.35,-133.75,-228.57,0,-68.72
1951-09-22,-98.23,-213.95,-142.15,-238.31,0,-58.73
1951-09-29,-79.41,-209.39,-139.14,-238.62,0,-40.21
1951-10-06,-67.78,-189.14,-119.28,-218.92,0,-24.86
1951-10-13,-78.98,-186.58,-129.33,-206.68,0,-41.65
1951-10-20,-88.37,-214.79,-134.56,-212.54,0,-66.01
1951-10-21,-61.67,-204.61,-117.82,-194.74,0,-46.97
1951-10-27,-61.67,-204.61,-117.82,-194.74,0,-46.97
1951-11-03,-70.41,-226.54,-148.91,-196.73,0,-50.18
1951-11-10,-48.4,-208.02,-136.96,-179.73,0,-37.22
1951-11-17,-27.05,-177.38,-123.42,-158.24,0,-24.07
1951-11-24,-20.65,-164.83,-99.65,-147.86,0,-6.44
1951-12-01,-14.4,-164.99,-99.5,-155.1,0,-13.22
1951-12-08,-29.58,-166.69,-92.8,-164.34,0,-31.11
1951-12-15,-55.78,-172.83,-108.28,-187.85,0,-50.6
1951-12-22,-54.89,-170.58,-95.87,-188.32,0,-51.6
1951-12-25,-60.47,-167.41,-101.84,-180.32,0,-63.93
1951-12-26,-51.93,-187.45,-106.03,-163.75,0,-51.61
1951-12-29,-45.31,-190.65,-109.59,-153.38,0,-60.5
1952-01-05,-61.84,-192.22,-105.8,-152.82,0,-58.24
1952-01-19,-55.44,-180.44,-105.98,-142.37,0,-54.49
1952-01-26,-41.69,-181.2,-110.65,-130.41,0,-44.43
1952-02-09,-52.61,-195,-126.78,-131.48,0,-56.43
1952-02-16,-50.14,-208.79,-131.82,-140.38,0,-73.63
1952-03-01,-65.31,-208.23,-145.87,-152.06,0,-79.34
1952-03-15,-54.21,-190.29,-151.43,-159.59,0,-57.91
1952-03-22,-60.78,-201.99,-154.1,-161.1,0,-56.79
1952-04-06,-37.96,-177.58,-115.93,-155.96,0,-34.7
1952-04-12,-35.85,-177.07,-106.17,-164.69,0,-34.19
1952-04-14,-49.83,-187.78,-119.25,-175.26,0,-34.05
1952-04-19,-52.84,-204.12,-137.42,-169.81,0,-40.23
1952-04-26,-63.36,-199.43,-141.07,-189.2,0,-43.71
1952-05-21,-80.17,-209.6,-159.09,-206.05,0,-37.08
1952-05-31,-80.17,-209.6,-159.09,-206.05,0,-37.08
1952-08-23,-80.17,-209.6,-159.09,-206.05,0,-37.08
1952-08-27,-73.58,-214.53,-157.69,-213.89,0,-52.48
1952-08-30,-60.12,-210.73,-147.32,-213.62,0,-39.29
1952-09-06,-52.08,-190.63,-117.4,-181.17,0,-30.14
1952-09-13,-40.81,-162.62,-91.93,-191.16,0,-29.32
1952-09-20,-54.28,-157.94,-103.96,-199.09,0,-41.27
1952-09-27,-38.05,-160.96,-96.33,-206.01,0,-55.55
1952-10-04,-38.63,-158.12,-92.53,-197.66,0,-38.9
1952-10-05,-14.82,-137.34,-68.98,-184.9,0,-29.01
1952-10-11,-14.82,-137.34,-68.98,-184.9,0,-29.01
1952-10-25,-19.99,-123.43,-81.92,-195.07,0,-17.49
1952-11-01,0,-102.17,-74.69,-176.1,-5.13,-11.69
1952-11-08,-14.23,-112.58,-74.41,-192.35,0,-26.56
1952-11-15,-5.64,-124.17,-74.15,-192.79,0,-26.9
1952-11-22,0,-138.74,-101.59,-187.19,-4.78,-42.11
1952-11-27,0,-153.4,-111.5,-193.09,-11.73,-29.16
1952-11-29,0,-153.4,-111.5,-193.09,-11.73,-29.16
1952-12-13,0,-159.75,-108.62,-188.37,-14.44,-27.59
1952-12-20,0,-171.96,-116.59,-177.05,-7.35,-22.66
1953-01-03,0,-194.8,-140.9,-193.58,-8.9,-20.83
1953-01-17,0,-190.8,-141.39,-177.49,-6.31,-7.98
1953-01-24,0,-187.71,-156.77,-170.51,-7.52,-13.8
1953-02-07,0,-183.47,-163.64,-161.3,-16,-11.72
1953-02-21,0,-184.35,-154.97,-172.2,-23.52,-40.46
1953-03-07,0,-198.63,-150.31,-182.81,-61.45,-47.57
1953-03-14,0,-194.55,-144.76,-172.29,-37.94,-36.67
1953-03-28,0,-155.52,-143.32,-146.5,-28.97,-46.02
1953-04-03,0,-138.34,-137.6,-123.23,-16.03,-37.08
1953-04-04,0,-136.06,-130.56,-115.34,-12.43,-32.57
1953-04-06,0,-149.32,-138.35,-107.07,-38.5,-27.25
1953-04-11,0,-156.26,-150.79,-108.95,-37.08,-42.18
1953-04-18,0,-159.3,-169.92,-134.81,-44.23,-61.71
1953-04-19,0,-165.69,-178.33,-152.25,-52.01,-64.08
1953-04-25,0,-165.57,-182.03,-162.53,-48.07,-63.96
1953-05-15,0,-161.64,-170.49,-150.82,-60.85,-60.46
1953-05-18,0,-161.64,-170.49,-150.82,-60.85,-60.46
1953-05-25,0,-161.64,-170.49,-150.82,-60.85,-60.46
1953-06-02,0,-161.64,-170.49,-150.82,-60.85,-60.46
1953-06-09,0,-161.64,-170.49,-150.82,-60.85,-60.46
1953-08-19,0,-161.64,-170.49,-150.82,-60.85,-60.46
1953-08-22,0,-146.95,-153,-148.68,-57,-46.89
1953-08-29,0,-130.75,-140.83,-155.78,-56.6,-32.48
1953-09-05,0,-112.85,-141.48,-139.87,-53.44,-3.97
1953-09-12,-4.68,-91.78,-138.05,-107.12,-48.24,0
1953-09-19,-0.63,-101.83,-130.71,-110.34,-21.26,0
1953-09-26,-18.29,-122.22,-125.78,-116.75,-27.06,0
1953-10-03,0,-126.7,-130.43,-109.17,-21.17,-1.49
1953-10-10,0,-133.93,-138.2,-119.49,-37.2,-15.84
1953-10-11,0,-157.37,-138.68,-140.48,-50.72,-50.41
1953-10-17,0,-157.37,-138.68,-140.48,-50.72,-50.41
1953-10-24,0,-139.9,-123.44,-132.96,-35.78,-36.25
1953-10-31,0,-163.92,-137.11,-159.26,-52.35,-51.95
1953-11-07,0,-159.26,-151.17,-155.37,-53.74,-63.03
1953-11-14,0,-164.04,-156.21,-153.81,-57.22,-61.73
1953-11-21,0,-159.3,-163.87,-160.02,-38.64,-69.85
1953-11-28,0,-160.09,-176.24,-155.14,-36.68,-70.92
1953-12-05,0,-154.08,-184.29,-163.64,-39.03,-86.4
1953-12-12,0,-139.32,-159.63,-155.45,-33.88,-82.56
1953-12-19,0,-126.3,-164.88,-147.64,-41.62,-69.31
1953-12-26,0,-116.92,-174.93,-148.71,-33.6,-71.2
1954-01-16,0,-97.62,-175.88,-134.55,-12.96,-74.42
1954-01-23,0,-100.24,-194.05,-144.67,-35.22,-98.66
1954-02-06,0,-79.51,-171.35,-102.69,-35.35,-74.6
1954-02-13,0,-77.2,-164.9,-103.17,-19.25,-67.95
