key,value,date
Arsenal,-43.34,1/14/50
Arsenal,-43.92,1/21/50
Arsenal,-34.93,2/4/50
Arsenal,-49.06,2/18/50
Arsenal,-44.91,2/25/50
Arsenal,-55.78,3/11/50
Arsenal,-50.01,4/1/50
Arsenal,-18.10,4/8/50
Arsenal,-26.11,4/10/50
Arsenal,-16.74,4/15/50
Arsenal,0.00,4/16/50
Arsenal,0.00,4/22/50
Arsenal,0.00,5/15/50
Arsenal,0.00,5/20/50
Arsenal,0.00,6/26/50
Arsenal,0.00,6/30/50
Arsenal,0.00,7/3/50
Arsenal,0.00,8/19/50
Arsenal,0.00,8/23/50
Arsenal,0.00,8/26/50
Arsenal,0.00,9/2/50
Arsenal,0.00,9/9/50
Arsenal,0.00,9/16/50
Arsenal,0.00,9/23/50
Arsenal,0.00,9/30/50
Arsenal,0.00,10/7/50
Arsenal,0.00,10/8/50
Arsenal,0.00,10/14/50
Arsenal,0.00,10/21/50
Arsenal,0.00,10/28/50
Arsenal,0.00,11/4/50
Arsenal,0.00,11/11/50
Arsenal,0.00,11/18/50
Arsenal,0.00,11/25/50
Arsenal,0.00,12/2/50
Arsenal,0.00,12/9/50
Arsenal,0.00,12/25/50
Arsenal,0.00,12/26/50
Arsenal,0.00,1/13/51
Arsenal,0.00,1/20/51
Arsenal,0.00,2/3/51
Arsenal,0.00,2/17/51
Arsenal,-24.47,3/3/51
Arsenal,-36.26,3/17/51
Arsenal,-64.86,3/24/51
Arsenal,-74.84,3/31/51
Arsenal,-65.09,4/7/51
Arsenal,-63.88,4/14/51
Arsenal,-76.61,4/15/51
Arsenal,-76.61,4/21/51
Arsenal,-88.27,5/10/51
Arsenal,-88.27,5/20/51
Arsenal,-88.27,8/18/51
Arsenal,-83.96,8/25/51
Arsenal,-94.53,8/29/51
Arsenal,-103.80,9/1/51
Arsenal,-93.31,9/8/51
Arsenal,-98.48,9/15/51
Arsenal,-98.23,9/22/51
Arsenal,-79.41,9/29/51
Arsenal,-67.78,10/6/51
Arsenal,-78.98,10/13/51
Arsenal,-88.37,10/20/51
Arsenal,-61.67,10/21/51
Arsenal,-61.67,10/27/51
Arsenal,-70.41,11/3/51
Arsenal,-48.40,11/10/51
Arsenal,-27.05,11/17/51
Arsenal,-20.65,11/24/51
Arsenal,-14.40,12/1/51
Arsenal,-29.58,12/8/51
Arsenal,-55.78,12/15/51
Arsenal,-54.89,12/22/51
Arsenal,-60.47,12/25/51
Arsenal,-51.93,12/26/51
Arsenal,-45.31,12/29/51
Arsenal,-61.84,1/5/52
Arsenal,-55.44,1/19/52
Arsenal,-41.69,1/26/52
Arsenal,-52.61,2/9/52
Arsenal,-50.14,2/16/52
Arsenal,-65.31,3/1/52
Arsenal,-54.21,3/15/52
Arsenal,-60.78,3/22/52
Arsenal,-37.96,4/6/52
Arsenal,-35.85,4/12/52
Arsenal,-49.83,4/14/52
Arsenal,-52.84,4/19/52
Arsenal,-63.36,4/26/52
Arsenal,-80.17,5/21/52
Arsenal,-80.17,5/31/52
Arsenal,-80.17,8/23/52
Arsenal,-73.58,8/27/52
Arsenal,-60.12,8/30/52
Arsenal,-52.08,9/6/52
Arsenal,-40.81,9/13/52
Arsenal,-54.28,9/20/52
Arsenal,-38.05,9/27/52
Arsenal,-38.63,10/4/52
Arsenal,-14.82,10/5/52
Arsenal,-14.82,10/11/52
Arsenal,-19.99,10/25/52
Arsenal,0.00,11/1/52
Arsenal,-14.23,11/8/52
Arsenal,-5.64,11/15/52
Arsenal,0.00,11/22/52
Arsenal,0.00,11/27/52
Arsenal,0.00,11/29/52
Arsenal,0.00,12/13/52
Arsenal,0.00,12/20/52
Arsenal,0.00,1/3/53
Arsenal,0.00,1/17/53
Arsenal,0.00,1/24/53
Arsenal,0.00,2/7/53
Arsenal,0.00,2/21/53
Arsenal,0.00,3/7/53
Arsenal,0.00,3/14/53
Arsenal,0.00,3/28/53
Arsenal,0.00,4/3/53
Arsenal,0.00,4/4/53
Arsenal,0.00,4/6/53
Arsenal,0.00,4/11/53
