key,value,date
Arsenal,-63.64,1969-01-11
Arsenal,-61.61,1969-01-15
Arsenal,-61.61,1969-01-18
Arsenal,-80.57,1969-02-19
Arsenal,-80.02,1969-02-26
Arsenal,-60.97,1969-03-05
Arsenal,-60.97,1969-03-15
Arsenal,-60.31,1969-03-29
Arsenal,-57.65,1969-04-12
Arsenal,-77.42,1969-04-19
Arsenal,-59.96,1969-04-23
Arsenal,-53.83,1969-05-15
Arsenal,-53.34,1969-08-09
Arsenal,-67.62,1969-08-16
Arsenal,-80.47,1969-08-23
Arsenal,-70.11,1969-08-27
Arsenal,-75.62,1969-08-30
Arsenal,-81.95,1969-09-06
Arsenal,-92.11,1969-09-13
Arsenal,-88.02,1969-09-17
Arsenal,-88.03,1969-09-20
Arsenal,-94.47,1969-09-27
Arsenal,-102.47,1969-10-01
Arsenal,-102.46,1969-10-04
Arsenal,-107.33,1969-10-11
Arsenal,-97.58,1969-10-18
Arsenal,-96.94,1969-10-25
Arsenal,-105.79,1969-11-01
Arsenal,-73.6,1969-11-08
Arsenal,-58.58,1969-11-12
Arsenal,-58.59,1969-11-15
Arsenal,-72.41,1969-11-22
Arsenal,-79.39,1969-11-26
Arsenal,-52.81,1969-12-06
Arsenal,-80.74,1969-12-13
Chelsea,-79.23,1969-01-11
Chelsea,-92.88,1969-01-15
Chelsea,-92.88,1969-01-18
Chelsea,-108.12,1969-02-19
Chelsea,-100.47,1969-02-26
Chelsea,-100.46,1969-03-05
Chelsea,-79.1,1969-03-15
Chelsea,-87.53,1969-03-29
Chelsea,-82.26,1969-04-12
Chelsea,-79.85,1969-04-19
Chelsea,-80.02,1969-04-23
Chelsea,-69.08,1969-05-15
Chelsea,-68.59,1969-08-09
Chelsea,-93.96,1969-08-16
Chelsea,-116.94,1969-08-23
Chelsea,-107.51,1969-08-27
Chelsea,-110.21,1969-08-30
Chelsea,-112.96,1969-09-06
Chelsea,-113.82,1969-09-13
Chelsea,-110.56,1969-09-17
Chelsea,-106.31,1969-09-20
Chelsea,-113.28,1969-09-27
Chelsea,-101.08,1969-10-01
Chelsea,-101.07,1969-10-04
Chelsea,-89.46,1969-10-11
Chelsea,-85.17,1969-10-18
Chelsea,-77.74,1969-10-25
Chelsea,-72.06,1969-11-01
Chelsea,-50.16,1969-11-08
Chelsea,-35.39,1969-11-12
Chelsea,-35.39,1969-11-15
Chelsea,-26.63,1969-11-22
Chelsea,-32.47,1969-11-26
Chelsea,-19.17,1969-12-06
Chelsea,-27.54,1969-12-13
Liverpool,0.0,1969-01-11
Liverpool,0.0,1969-01-15
Liverpool,0.0,1969-01-18
Liverpool,0.0,1969-02-19
Liverpool,0.0,1969-02-26
Liverpool,0.0,1969-03-05
Liverpool,0.0,1969-03-15
Liverpool,0.0,1969-03-29
Liverpool,0.0,1969-04-12
Liverpool,0.0,1969-04-19
Liverpool,0.0,1969-04-23
Liverpool,0.0,1969-05-15
Liverpool,0.0,1969-08-09
Liverpool,0.0,1969-08-16
Liverpool,0.0,1969-08-23
Liverpool,0.0,1969-08-27
Liverpool,0.0,1969-08-30
Liverpool,0.0,1969-09-06
Liverpool,0.0,1969-09-13
Liverpool,0.0,1969-09-17
Liverpool,0.0,1969-09-20
Liverpool,0.0,1969-09-27
Liverpool,0.0,1969-10-01
Liverpool,0.0,1969-10-04
Liverpool,0.0,1969-10-11
Liverpool,0.0,1969-10-18
Liverpool,0.0,1969-10-25
Liverpool,0.0,1969-11-01
Liverpool,0.0,1969-11-08
Liverpool,0.0,1969-11-12
Liverpool,0.0,1969-11-15
Liverpool,0.0,1969-11-22
Liverpool,0.0,1969-11-26
Liverpool,0.0,1969-12-06
Liverpool,0.0,1969-12-13
Man City,-110.99,1969-01-11
Man City,-103.28,1969-01-15
Man City,-103.28,1969-01-18
Man City,-91.09,1969-02-19
Man City,-90.54,1969-02-26
Man City,-97.5,1969-03-05
Man City,-93.76,1969-03-15
Man City,-106.84,1969-03-29
Man City,-109.45,1969-04-12
Man City,-120.1,1969-04-19
Man City,-131.14,1969-04-23
Man City,-110.85,1969-05-15
Man City,-110.36,1969-08-09
Man City,-118.05,1969-08-16
Man City,-155.57,1969-08-23
Man City,-147.4,1969-08-27
Man City,-138.41,1969-08-30
Man City,-133.62,1969-09-06
Man City,-139.64,1969-09-13
Man City,-110.55,1969-09-17
Man City,-104.91,1969-09-20
Man City,-102.78,1969-09-27
Man City,-111.97,1969-10-01
Man City,-106.09,1969-10-04
Man City,-84.85,1969-10-11
Man City,-76.01,1969-10-18
Man City,-64.99,1969-10-25
Man City,-65.58,1969-11-01
Man City,-47.2,1969-11-08
Man City,-38.01,1969-11-12
Man City,-34.71,1969-11-15
Man City,-29.43,1969-11-22
Man City,-32.16,1969-11-26
Man City,-26.57,1969-12-06
